x,send,process,read,report,moderate
1,44.881,145.897,34.309,514.406,573.489
2,44.721,145.557,34.322,514.012,573.158
64,44.845,145.639,34.288,513.654,573.076
100,44.847,146.136,34.314,514.334,573.76
200,44.975,145.831,34.331,513.39,573.517
300,44.955,145.577,34.403,514.028,575.83
400,44.866,145.715,34.273,513.705,573.032
500,44.875,145.804,34.341,513.716,572.688
600,44.816,145.71,34.378,513.713,572.867
700,44.863,145.591,34.262,513.875,572.935
800,44.889,145.829,34.321,513.31,574.231
900,44.794,146.034,34.277,513.608,572.78
1000,45.036,145.7,34.375,514.447,572.559
