x,send,process,read,report,moderate
1,44.96,50.553,34.253,35.404,42.774
2,45.016,51.598,34.247,35.566,42.887
64,44.903,104.072,34.351,35.478,42.758
100,44.984,132.85,34.263,35.39,42.826
200,44.934,216.504,34.293,35.305,42.883
300,45.994,299.707,34.266,35.638,43.071
400,48.332,378.85,34.207,35.39,42.948
500,45.221,459.494,34.218,35.466,42.882
600,45.307,545.088,34.284,35.452,42.923
700,45.039,624.78,34.33,35.441,42.871
800,45.053,707.007,34.214,35.401,42.913
900,45.031,789.663,34.25,35.54,42.6
1000,45.2,871.982,34.163,35.4,43.05
