group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Basic Setup,,,,,1049667.0,ns,1018026
Basic Setup,,,,,2005459.0,ns,2036052
Basic Setup,,,,,2980500.0,ns,3054078
Basic Setup,,,,,3988292.0,ns,4072104
Basic Setup,,,,,4997584.0,ns,5090130
Basic Setup,,,,,6085834.0,ns,6108156
Basic Setup,,,,,7070583.0,ns,7126182
Basic Setup,,,,,7993583.0,ns,8144208
Basic Setup,,,,,9045791.0,ns,9162234
Basic Setup,,,,,10023625.0,ns,10180260
Basic Setup,,,,,11059916.0,ns,11198286
Basic Setup,,,,,11982208.0,ns,12216312
Basic Setup,,,,,13026125.0,ns,13234338
Basic Setup,,,,,13944500.0,ns,14252364
Basic Setup,,,,,15002625.0,ns,15270390
Basic Setup,,,,,15975083.0,ns,16288416
Basic Setup,,,,,17309125.0,ns,17306442
Basic Setup,,,,,17988125.0,ns,18324468
Basic Setup,,,,,18982250.0,ns,19342494
Basic Setup,,,,,20028750.0,ns,20360520
Basic Setup,,,,,21043625.0,ns,21378546
Basic Setup,,,,,20999583.0,ns,22396572
Basic Setup,,,,,22703250.0,ns,23414598
Basic Setup,,,,,24058333.0,ns,24432624
Basic Setup,,,,,25172250.0,ns,25450650
Basic Setup,,,,,26128583.0,ns,26468676
Basic Setup,,,,,27365583.0,ns,27486702
Basic Setup,,,,,28441500.0,ns,28504728
Basic Setup,,,,,29241125.0,ns,29522754
Basic Setup,,,,,30346000.0,ns,30540780
Basic Setup,,,,,32048000.0,ns,31558806
Basic Setup,,,,,33050417.0,ns,32576832
Basic Setup,,,,,33405792.0,ns,33594858
Basic Setup,,,,,34459542.0,ns,34612884
Basic Setup,,,,,35363333.0,ns,35630910
Basic Setup,,,,,36380041.0,ns,36648936
Basic Setup,,,,,37247083.0,ns,37666962
Basic Setup,,,,,38118041.0,ns,38684988
Basic Setup,,,,,39063666.0,ns,39703014
Basic Setup,,,,,40396250.0,ns,40721040
Basic Setup,,,,,41024834.0,ns,41739066
Basic Setup,,,,,42329875.0,ns,42757092
Basic Setup,,,,,43126125.0,ns,43775118
Basic Setup,,,,,44182542.0,ns,44793144
Basic Setup,,,,,45576708.0,ns,45811170
Basic Setup,,,,,47011083.0,ns,46829196
Basic Setup,,,,,48143708.0,ns,47847222
Basic Setup,,,,,49199667.0,ns,48865248
Basic Setup,,,,,48721042.0,ns,49883274
Basic Setup,,,,,50600708.0,ns,50901300
Basic Setup,,,,,51251458.0,ns,51919326
Basic Setup,,,,,52750875.0,ns,52937352
Basic Setup,,,,,53868084.0,ns,53955378
Basic Setup,,,,,56517708.0,ns,54973404
Basic Setup,,,,,57675167.0,ns,55991430
Basic Setup,,,,,58073667.0,ns,57009456
Basic Setup,,,,,59327875.0,ns,58027482
Basic Setup,,,,,58875084.0,ns,59045508
Basic Setup,,,,,59773542.0,ns,60063534
Basic Setup,,,,,60545667.0,ns,61081560
Basic Setup,,,,,61503334.0,ns,62099586
Basic Setup,,,,,62467084.0,ns,63117612
Basic Setup,,,,,63539334.0,ns,64135638
Basic Setup,,,,,64413958.0,ns,65153664
Basic Setup,,,,,65386833.0,ns,66171690
Basic Setup,,,,,66356000.0,ns,67189716
Basic Setup,,,,,67297125.0,ns,68207742
Basic Setup,,,,,68299792.0,ns,69225768
Basic Setup,,,,,69293542.0,ns,70243794
Basic Setup,,,,,70674792.0,ns,71261820
Basic Setup,,,,,71382375.0,ns,72279846
Basic Setup,,,,,72262167.0,ns,73297872
Basic Setup,,,,,73511250.0,ns,74315898
Basic Setup,,,,,74294417.0,ns,75333924
Basic Setup,,,,,75261625.0,ns,76351950
Basic Setup,,,,,76427333.0,ns,77369976
Basic Setup,,,,,77405583.0,ns,78388002
Basic Setup,,,,,78258500.0,ns,79406028
Basic Setup,,,,,79263667.0,ns,80424054
Basic Setup,,,,,80244166.0,ns,81442080
Basic Setup,,,,,81150792.0,ns,82460106
Basic Setup,,,,,82304209.0,ns,83478132
Basic Setup,,,,,83549875.0,ns,84496158
Basic Setup,,,,,84328208.0,ns,85514184
Basic Setup,,,,,85568375.0,ns,86532210
Basic Setup,,,,,86449667.0,ns,87550236
Basic Setup,,,,,87381041.0,ns,88568262
Basic Setup,,,,,88360291.0,ns,89586288
Basic Setup,,,,,89612750.0,ns,90604314
Basic Setup,,,,,90534125.0,ns,91622340
Basic Setup,,,,,91401833.0,ns,92640366
Basic Setup,,,,,92563584.0,ns,93658392
Basic Setup,,,,,93447750.0,ns,94676418
Basic Setup,,,,,98927916.0,ns,95694444
Basic Setup,,,,,98960542.0,ns,96712470
Basic Setup,,,,,97984500.0,ns,97730496
Basic Setup,,,,,98482500.0,ns,98748522
Basic Setup,,,,,99096125.0,ns,99766548
Basic Setup,,,,,100111334.0,ns,100784574
Basic Setup,,,,,101070917.0,ns,101802600
