group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"SetupMod(pk_reg, 1^lambda)",,1,,,1044791.0,ns,122
"SetupMod(pk_reg, 1^lambda)",,1,,,1987625.0,ns,244
"SetupMod(pk_reg, 1^lambda)",,1,,,2961083.0,ns,366
"SetupMod(pk_reg, 1^lambda)",,1,,,3969333.0,ns,488
"SetupMod(pk_reg, 1^lambda)",,1,,,4915334.0,ns,610
"SetupMod(pk_reg, 1^lambda)",,1,,,6110334.0,ns,732
"SetupMod(pk_reg, 1^lambda)",,1,,,6897708.0,ns,854
"SetupMod(pk_reg, 1^lambda)",,1,,,7947458.0,ns,976
"SetupMod(pk_reg, 1^lambda)",,1,,,8874833.0,ns,1098
"SetupMod(pk_reg, 1^lambda)",,1,,,9861833.0,ns,1220
"SetupMod(pk_reg, 1^lambda)",,1,,,10860459.0,ns,1342
"SetupMod(pk_reg, 1^lambda)",,1,,,11799833.0,ns,1464
"SetupMod(pk_reg, 1^lambda)",,1,,,12792833.0,ns,1586
"SetupMod(pk_reg, 1^lambda)",,1,,,13845416.0,ns,1708
"SetupMod(pk_reg, 1^lambda)",,1,,,14778917.0,ns,1830
"SetupMod(pk_reg, 1^lambda)",,1,,,15937000.0,ns,1952
"SetupMod(pk_reg, 1^lambda)",,1,,,18436417.0,ns,2074
"SetupMod(pk_reg, 1^lambda)",,1,,,19972958.0,ns,2196
"SetupMod(pk_reg, 1^lambda)",,1,,,21426708.0,ns,2318
"SetupMod(pk_reg, 1^lambda)",,1,,,23005500.0,ns,2440
"SetupMod(pk_reg, 1^lambda)",,1,,,23101917.0,ns,2562
"SetupMod(pk_reg, 1^lambda)",,1,,,22362708.0,ns,2684
"SetupMod(pk_reg, 1^lambda)",,1,,,22673042.0,ns,2806
"SetupMod(pk_reg, 1^lambda)",,1,,,23633000.0,ns,2928
"SetupMod(pk_reg, 1^lambda)",,1,,,24600250.0,ns,3050
"SetupMod(pk_reg, 1^lambda)",,1,,,25576500.0,ns,3172
"SetupMod(pk_reg, 1^lambda)",,1,,,26607875.0,ns,3294
"SetupMod(pk_reg, 1^lambda)",,1,,,27801625.0,ns,3416
"SetupMod(pk_reg, 1^lambda)",,1,,,28561042.0,ns,3538
"SetupMod(pk_reg, 1^lambda)",,1,,,29510667.0,ns,3660
"SetupMod(pk_reg, 1^lambda)",,1,,,30457542.0,ns,3782
"SetupMod(pk_reg, 1^lambda)",,1,,,31513125.0,ns,3904
"SetupMod(pk_reg, 1^lambda)",,1,,,32484875.0,ns,4026
"SetupMod(pk_reg, 1^lambda)",,1,,,33462208.0,ns,4148
"SetupMod(pk_reg, 1^lambda)",,1,,,34466708.0,ns,4270
"SetupMod(pk_reg, 1^lambda)",,1,,,35412583.0,ns,4392
"SetupMod(pk_reg, 1^lambda)",,1,,,36411708.0,ns,4514
"SetupMod(pk_reg, 1^lambda)",,1,,,37410916.0,ns,4636
"SetupMod(pk_reg, 1^lambda)",,1,,,38446916.0,ns,4758
"SetupMod(pk_reg, 1^lambda)",,1,,,39429792.0,ns,4880
"SetupMod(pk_reg, 1^lambda)",,1,,,40324334.0,ns,5002
"SetupMod(pk_reg, 1^lambda)",,1,,,41585417.0,ns,5124
"SetupMod(pk_reg, 1^lambda)",,1,,,42375666.0,ns,5246
"SetupMod(pk_reg, 1^lambda)",,1,,,43295333.0,ns,5368
"SetupMod(pk_reg, 1^lambda)",,1,,,44269917.0,ns,5490
"SetupMod(pk_reg, 1^lambda)",,1,,,45282500.0,ns,5612
"SetupMod(pk_reg, 1^lambda)",,1,,,46235584.0,ns,5734
"SetupMod(pk_reg, 1^lambda)",,1,,,47259000.0,ns,5856
"SetupMod(pk_reg, 1^lambda)",,1,,,48236250.0,ns,5978
"SetupMod(pk_reg, 1^lambda)",,1,,,49215542.0,ns,6100
"SetupMod(pk_reg, 1^lambda)",,1,,,50185250.0,ns,6222
"SetupMod(pk_reg, 1^lambda)",,1,,,51161000.0,ns,6344
"SetupMod(pk_reg, 1^lambda)",,1,,,52673583.0,ns,6466
"SetupMod(pk_reg, 1^lambda)",,1,,,53145708.0,ns,6588
"SetupMod(pk_reg, 1^lambda)",,1,,,54083917.0,ns,6710
"SetupMod(pk_reg, 1^lambda)",,1,,,55129708.0,ns,6832
"SetupMod(pk_reg, 1^lambda)",,1,,,56091958.0,ns,6954
"SetupMod(pk_reg, 1^lambda)",,1,,,57094791.0,ns,7076
"SetupMod(pk_reg, 1^lambda)",,1,,,58100000.0,ns,7198
"SetupMod(pk_reg, 1^lambda)",,1,,,59064791.0,ns,7320
"SetupMod(pk_reg, 1^lambda)",,1,,,60053958.0,ns,7442
"SetupMod(pk_reg, 1^lambda)",,1,,,61215417.0,ns,7564
"SetupMod(pk_reg, 1^lambda)",,1,,,62023708.0,ns,7686
"SetupMod(pk_reg, 1^lambda)",,1,,,62948708.0,ns,7808
"SetupMod(pk_reg, 1^lambda)",,1,,,64013541.0,ns,7930
"SetupMod(pk_reg, 1^lambda)",,1,,,64935458.0,ns,8052
