group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"SetupMod(pk_reg, 1^lambda)",,10,,,258011042.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,194312250.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,287918167.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,299395917.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,311603041.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,393403125.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,404337542.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,324463250.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,346430875.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,363494875.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,196637291.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,225311291.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,383885417.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,273532625.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,317963333.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,464047959.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,278663084.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,348643459.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,256667292.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,237625917.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,227311834.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,380845666.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,292122917.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,399086584.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,359819958.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,276190416.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,241557833.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,200675958.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,329136834.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,222765500.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,381216750.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,261319500.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,360300916.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,292649833.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,417636250.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,306129709.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,319828833.0,ns,1
"SetupMod(pk_reg, 1^lambda)",,10,,,567822292.0,ns,1
