group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
SetupPlatform(1^lambda),,,,,1016667.0,ns,983109
SetupPlatform(1^lambda),,,,,1998042.0,ns,1966218
SetupPlatform(1^lambda),,,,,2950750.0,ns,2949327
SetupPlatform(1^lambda),,,,,3955791.0,ns,3932436
SetupPlatform(1^lambda),,,,,4931458.0,ns,4915545
SetupPlatform(1^lambda),,,,,5944083.0,ns,5898654
SetupPlatform(1^lambda),,,,,6917125.0,ns,6881763
SetupPlatform(1^lambda),,,,,7960541.0,ns,7864872
SetupPlatform(1^lambda),,,,,8907083.0,ns,8847981
SetupPlatform(1^lambda),,,,,10000708.0,ns,9831090
SetupPlatform(1^lambda),,,,,10908208.0,ns,10814199
SetupPlatform(1^lambda),,,,,11834333.0,ns,11797308
SetupPlatform(1^lambda),,,,,12825375.0,ns,12780417
SetupPlatform(1^lambda),,,,,13824334.0,ns,13763526
SetupPlatform(1^lambda),,,,,14782500.0,ns,14746635
SetupPlatform(1^lambda),,,,,15768791.0,ns,15729744
SetupPlatform(1^lambda),,,,,16744458.0,ns,16712853
SetupPlatform(1^lambda),,,,,17733041.0,ns,17695962
SetupPlatform(1^lambda),,,,,18708667.0,ns,18679071
SetupPlatform(1^lambda),,,,,19715792.0,ns,19662180
SetupPlatform(1^lambda),,,,,20706792.0,ns,20645289
SetupPlatform(1^lambda),,,,,21692959.0,ns,21628398
SetupPlatform(1^lambda),,,,,22703333.0,ns,22611507
SetupPlatform(1^lambda),,,,,23666291.0,ns,23594616
SetupPlatform(1^lambda),,,,,24621000.0,ns,24577725
SetupPlatform(1^lambda),,,,,25614667.0,ns,25560834
SetupPlatform(1^lambda),,,,,26637000.0,ns,26543943
SetupPlatform(1^lambda),,,,,27589750.0,ns,27527052
SetupPlatform(1^lambda),,,,,28590625.0,ns,28510161
SetupPlatform(1^lambda),,,,,29555292.0,ns,29493270
SetupPlatform(1^lambda),,,,,30517833.0,ns,30476379
SetupPlatform(1^lambda),,,,,31742375.0,ns,31459488
SetupPlatform(1^lambda),,,,,32639625.0,ns,32442597
SetupPlatform(1^lambda),,,,,33566583.0,ns,33425706
SetupPlatform(1^lambda),,,,,34541708.0,ns,34408815
SetupPlatform(1^lambda),,,,,35476416.0,ns,35391924
SetupPlatform(1^lambda),,,,,36470583.0,ns,36375033
SetupPlatform(1^lambda),,,,,37431541.0,ns,37358142
SetupPlatform(1^lambda),,,,,38458750.0,ns,38341251
SetupPlatform(1^lambda),,,,,39396500.0,ns,39324360
SetupPlatform(1^lambda),,,,,41108916.0,ns,40307469
SetupPlatform(1^lambda),,,,,42675792.0,ns,41290578
SetupPlatform(1^lambda),,,,,44068584.0,ns,42273687
SetupPlatform(1^lambda),,,,,44554042.0,ns,43256796
SetupPlatform(1^lambda),,,,,45194334.0,ns,44239905
SetupPlatform(1^lambda),,,,,45866083.0,ns,45223014
SetupPlatform(1^lambda),,,,,46293209.0,ns,46206123
SetupPlatform(1^lambda),,,,,47301542.0,ns,47189232
SetupPlatform(1^lambda),,,,,48291792.0,ns,48172341
SetupPlatform(1^lambda),,,,,49278208.0,ns,49155450
SetupPlatform(1^lambda),,,,,50259208.0,ns,50138559
SetupPlatform(1^lambda),,,,,51275041.0,ns,51121668
SetupPlatform(1^lambda),,,,,52231250.0,ns,52104777
SetupPlatform(1^lambda),,,,,53226292.0,ns,53087886
SetupPlatform(1^lambda),,,,,54231042.0,ns,54070995
SetupPlatform(1^lambda),,,,,55274750.0,ns,55054104
SetupPlatform(1^lambda),,,,,56178709.0,ns,56037213
SetupPlatform(1^lambda),,,,,57167375.0,ns,57020322
SetupPlatform(1^lambda),,,,,58178458.0,ns,58003431
SetupPlatform(1^lambda),,,,,59589375.0,ns,58986540
SetupPlatform(1^lambda),,,,,62433208.0,ns,59969649
SetupPlatform(1^lambda),,,,,63807375.0,ns,60952758
SetupPlatform(1^lambda),,,,,62398459.0,ns,61935867
SetupPlatform(1^lambda),,,,,63521292.0,ns,62918976
SetupPlatform(1^lambda),,,,,64159375.0,ns,63902085
SetupPlatform(1^lambda),,,,,65401334.0,ns,64885194
SetupPlatform(1^lambda),,,,,66059667.0,ns,65868303
SetupPlatform(1^lambda),,,,,67078125.0,ns,66851412
SetupPlatform(1^lambda),,,,,68004125.0,ns,67834521
SetupPlatform(1^lambda),,,,,69075083.0,ns,68817630
SetupPlatform(1^lambda),,,,,69989791.0,ns,69800739
SetupPlatform(1^lambda),,,,,71313125.0,ns,70783848
SetupPlatform(1^lambda),,,,,72274333.0,ns,71766957
SetupPlatform(1^lambda),,,,,73023791.0,ns,72750066
SetupPlatform(1^lambda),,,,,74322166.0,ns,73733175
SetupPlatform(1^lambda),,,,,75068875.0,ns,74716284
SetupPlatform(1^lambda),,,,,76074416.0,ns,75699393
SetupPlatform(1^lambda),,,,,77224041.0,ns,76682502
SetupPlatform(1^lambda),,,,,78931208.0,ns,77665611
