group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
SetupPlatform(1^lambda),,,,,1013083.0,ns,985446
SetupPlatform(1^lambda),,,,,1983583.0,ns,1970892
SetupPlatform(1^lambda),,,,,2959625.0,ns,2956338
SetupPlatform(1^lambda),,,,,3958000.0,ns,3941784
SetupPlatform(1^lambda),,,,,4952292.0,ns,4927230
SetupPlatform(1^lambda),,,,,6012375.0,ns,5912676
SetupPlatform(1^lambda),,,,,6925291.0,ns,6898122
SetupPlatform(1^lambda),,,,,7932958.0,ns,7883568
SetupPlatform(1^lambda),,,,,8893041.0,ns,8869014
SetupPlatform(1^lambda),,,,,9893375.0,ns,9854460
SetupPlatform(1^lambda),,,,,10864750.0,ns,10839906
SetupPlatform(1^lambda),,,,,11864917.0,ns,11825352
SetupPlatform(1^lambda),,,,,12960084.0,ns,12810798
SetupPlatform(1^lambda),,,,,13838667.0,ns,13796244
SetupPlatform(1^lambda),,,,,14814166.0,ns,14781690
SetupPlatform(1^lambda),,,,,15824708.0,ns,15767136
SetupPlatform(1^lambda),,,,,16820709.0,ns,16752582
SetupPlatform(1^lambda),,,,,17818209.0,ns,17738028
SetupPlatform(1^lambda),,,,,18831584.0,ns,18723474
SetupPlatform(1^lambda),,,,,19803375.0,ns,19708920
SetupPlatform(1^lambda),,,,,20753833.0,ns,20694366
SetupPlatform(1^lambda),,,,,21747000.0,ns,21679812
SetupPlatform(1^lambda),,,,,22757542.0,ns,22665258
SetupPlatform(1^lambda),,,,,23759084.0,ns,23650704
SetupPlatform(1^lambda),,,,,24739084.0,ns,24636150
SetupPlatform(1^lambda),,,,,25721792.0,ns,25621596
SetupPlatform(1^lambda),,,,,26727084.0,ns,26607042
SetupPlatform(1^lambda),,,,,27768042.0,ns,27592488
SetupPlatform(1^lambda),,,,,28695667.0,ns,28577934
SetupPlatform(1^lambda),,,,,29671208.0,ns,29563380
SetupPlatform(1^lambda),,,,,30656625.0,ns,30548826
SetupPlatform(1^lambda),,,,,31675417.0,ns,31534272
SetupPlatform(1^lambda),,,,,32612667.0,ns,32519718
SetupPlatform(1^lambda),,,,,33634500.0,ns,33505164
SetupPlatform(1^lambda),,,,,34604292.0,ns,34490610
SetupPlatform(1^lambda),,,,,35598458.0,ns,35476056
SetupPlatform(1^lambda),,,,,36633375.0,ns,36461502
SetupPlatform(1^lambda),,,,,37596833.0,ns,37446948
SetupPlatform(1^lambda),,,,,38548250.0,ns,38432394
SetupPlatform(1^lambda),,,,,39559125.0,ns,39417840
SetupPlatform(1^lambda),,,,,40556084.0,ns,40403286
SetupPlatform(1^lambda),,,,,41563709.0,ns,41388732
SetupPlatform(1^lambda),,,,,42581959.0,ns,42374178
SetupPlatform(1^lambda),,,,,43527375.0,ns,43359624
SetupPlatform(1^lambda),,,,,44484833.0,ns,44345070
SetupPlatform(1^lambda),,,,,45436250.0,ns,45330516
SetupPlatform(1^lambda),,,,,46511833.0,ns,46315962
SetupPlatform(1^lambda),,,,,49109000.0,ns,47301408
SetupPlatform(1^lambda),,,,,50917583.0,ns,48286854
SetupPlatform(1^lambda),,,,,53284125.0,ns,49272300
SetupPlatform(1^lambda),,,,,53213792.0,ns,50257746
SetupPlatform(1^lambda),,,,,52512417.0,ns,51243192
SetupPlatform(1^lambda),,,,,52830125.0,ns,52228638
SetupPlatform(1^lambda),,,,,55847334.0,ns,53214084
SetupPlatform(1^lambda),,,,,54455875.0,ns,54199530
SetupPlatform(1^lambda),,,,,56709250.0,ns,55184976
SetupPlatform(1^lambda),,,,,58604958.0,ns,56170422
SetupPlatform(1^lambda),,,,,57933834.0,ns,57155868
SetupPlatform(1^lambda),,,,,58282875.0,ns,58141314
SetupPlatform(1^lambda),,,,,60477958.0,ns,59126760
SetupPlatform(1^lambda),,,,,61392250.0,ns,60112206
SetupPlatform(1^lambda),,,,,61659834.0,ns,61097652
SetupPlatform(1^lambda),,,,,62277375.0,ns,62083098
SetupPlatform(1^lambda),,,,,63585917.0,ns,63068544
SetupPlatform(1^lambda),,,,,65425833.0,ns,64053990
SetupPlatform(1^lambda),,,,,67059208.0,ns,65039436
SetupPlatform(1^lambda),,,,,66399875.0,ns,66024882
SetupPlatform(1^lambda),,,,,67215792.0,ns,67010328
SetupPlatform(1^lambda),,,,,69710125.0,ns,67995774
SetupPlatform(1^lambda),,,,,72310000.0,ns,68981220
SetupPlatform(1^lambda),,,,,71498417.0,ns,69966666
SetupPlatform(1^lambda),,,,,71781791.0,ns,70952112
SetupPlatform(1^lambda),,,,,72869791.0,ns,71937558
SetupPlatform(1^lambda),,,,,75001333.0,ns,72923004
SetupPlatform(1^lambda),,,,,79217875.0,ns,73908450
SetupPlatform(1^lambda),,,,,79777792.0,ns,74893896
SetupPlatform(1^lambda),,,,,78127500.0,ns,75879342
SetupPlatform(1^lambda),,,,,77075750.0,ns,76864788
SetupPlatform(1^lambda),,,,,78085250.0,ns,77850234
SetupPlatform(1^lambda),,,,,79250917.0,ns,78835680
SetupPlatform(1^lambda),,,,,83435333.0,ns,79821126
SetupPlatform(1^lambda),,,,,83299625.0,ns,80806572
SetupPlatform(1^lambda),,,,,83344958.0,ns,81792018
SetupPlatform(1^lambda),,,,,86901000.0,ns,82777464
SetupPlatform(1^lambda),,,,,84182542.0,ns,83762910
SetupPlatform(1^lambda),,,,,84936333.0,ns,84748356
SetupPlatform(1^lambda),,,,,85928959.0,ns,85733802
SetupPlatform(1^lambda),,,,,87032250.0,ns,86719248
SetupPlatform(1^lambda),,,,,87885750.0,ns,87704694
SetupPlatform(1^lambda),,,,,88954250.0,ns,88690140
SetupPlatform(1^lambda),,,,,90394834.0,ns,89675586
SetupPlatform(1^lambda),,,,,93183584.0,ns,90661032
SetupPlatform(1^lambda),,,,,94080208.0,ns,91646478
SetupPlatform(1^lambda),,,,,95606583.0,ns,92631924
SetupPlatform(1^lambda),,,,,96569375.0,ns,93617370
SetupPlatform(1^lambda),,,,,98824875.0,ns,94602816
SetupPlatform(1^lambda),,,,,96074792.0,ns,95588262
SetupPlatform(1^lambda),,,,,101204791.0,ns,96573708
SetupPlatform(1^lambda),,,,,98044333.0,ns,97559154
SetupPlatform(1^lambda),,,,,98844708.0,ns,98544600
