group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,1076417.0,ns,34
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,2099542.0,ns,68
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,2993166.0,ns,102
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,3947583.0,ns,136
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,5339917.0,ns,170
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,6411708.0,ns,204
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,7258291.0,ns,238
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,8056791.0,ns,272
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,9091542.0,ns,306
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,9932834.0,ns,340
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,10839375.0,ns,374
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,11856792.0,ns,408
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,12797875.0,ns,442
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,13800417.0,ns,476
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,14988000.0,ns,510
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,15957917.0,ns,544
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,16900917.0,ns,578
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,17993542.0,ns,612
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,19168959.0,ns,646
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,19980167.0,ns,680
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,21132750.0,ns,714
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,21915375.0,ns,748
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,23128584.0,ns,782
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,24134792.0,ns,816
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,25020625.0,ns,850
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,27466583.0,ns,884
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,29936792.0,ns,918
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,30271375.0,ns,952
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,31627459.0,ns,986
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,31602500.0,ns,1020
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,31925625.0,ns,1054
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,32669708.0,ns,1088
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,33476167.0,ns,1122
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,34590042.0,ns,1156
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,35419042.0,ns,1190
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,36477459.0,ns,1224
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,37348250.0,ns,1258
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,38302834.0,ns,1292
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,39323542.0,ns,1326
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,40348959.0,ns,1360
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,41307583.0,ns,1394
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,42242958.0,ns,1428
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,43304958.0,ns,1462
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,44309042.0,ns,1496
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,45295875.0,ns,1530
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,46255833.0,ns,1564
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,47474416.0,ns,1598
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,48290667.0,ns,1632
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,49564792.0,ns,1666
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,50359250.0,ns,1700
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,51234708.0,ns,1734
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,52237875.0,ns,1768
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,53297375.0,ns,1802
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,54148291.0,ns,1836
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,55204333.0,ns,1870
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,56633708.0,ns,1904
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,57317083.0,ns,1938
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,58258000.0,ns,1972
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,59224666.0,ns,2006
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,60226667.0,ns,2040
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,61205334.0,ns,2074
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,62001459.0,ns,2108
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 10,,,,63175625.0,ns,2142
