group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,1316250.0,ns,3
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,2637708.0,ns,6
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,3869416.0,ns,9
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,5250250.0,ns,12
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,6381292.0,ns,15
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,7787042.0,ns,18
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,9036709.0,ns,21
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,10310167.0,ns,24
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,11608458.0,ns,27
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,12794167.0,ns,30
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,14015125.0,ns,33
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,15261125.0,ns,36
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,16528750.0,ns,39
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,18632417.0,ns,42
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,20518625.0,ns,45
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,21733041.0,ns,48
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,22730625.0,ns,51
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,23755958.0,ns,54
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,24765166.0,ns,57
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,25589333.0,ns,60
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,26800916.0,ns,63
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,28025708.0,ns,66
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,29285083.0,ns,69
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,30581375.0,ns,72
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,31807333.0,ns,75
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,33271291.0,ns,78
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,34359666.0,ns,81
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,35824250.0,ns,84
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,37026208.0,ns,87
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,38088833.0,ns,90
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,39535791.0,ns,93
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,47022042.0,ns,96
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,42062333.0,ns,99
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,43977625.0,ns,102
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,45673666.0,ns,105
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,47011792.0,ns,108
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,48529500.0,ns,111
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,49226375.0,ns,114
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,49896125.0,ns,117
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,51175167.0,ns,120
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,53149250.0,ns,123
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,53980333.0,ns,126
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,54969791.0,ns,129
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,56246583.0,ns,132
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,57460875.0,ns,135
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,58806917.0,ns,138
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,59971959.0,ns,141
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,61382000.0,ns,144
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,62758541.0,ns,147
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,63687375.0,ns,150
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,65152416.0,ns,153
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,66359333.0,ns,156
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,67690750.0,ns,159
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,68766208.0,ns,162
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,70064834.0,ns,165
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,71501792.0,ns,168
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,72613375.0,ns,171
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,73850208.0,ns,174
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,75285459.0,ns,177
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,76368542.0,ns,180
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,77903917.0,ns,183
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,79065292.0,ns,186
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,80323000.0,ns,189
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,81547291.0,ns,192
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,83167000.0,ns,195
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,84136750.0,ns,198
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,85648792.0,ns,201
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,86814750.0,ns,204
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,87828250.0,ns,207
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,91680375.0,ns,210
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,92650083.0,ns,213
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,92704166.0,ns,216
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,93191750.0,ns,219
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,94569417.0,ns,222
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,95644667.0,ns,225
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,96936000.0,ns,228
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,98954333.0,ns,231
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,100952792.0,ns,234
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,100801500.0,ns,237
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,102214875.0,ns,240
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,103635291.0,ns,243
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,105065583.0,ns,246
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,106132125.0,ns,249
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,107098292.0,ns,252
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 640,,,,108448875.0,ns,255
