group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,1029542.0,ns,70
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,2003417.0,ns,140
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,2989917.0,ns,210
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,3984541.0,ns,280
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,4983708.0,ns,350
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,6079083.0,ns,420
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,7058709.0,ns,490
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,7984417.0,ns,560
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,8975041.0,ns,630
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,9992875.0,ns,700
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,10991500.0,ns,770
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,11961292.0,ns,840
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,12972916.0,ns,910
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,14024917.0,ns,980
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,14950292.0,ns,1050
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,15964542.0,ns,1120
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,16965459.0,ns,1190
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,17968917.0,ns,1260
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,18966667.0,ns,1330
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,19962666.0,ns,1400
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,20963708.0,ns,1470
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,21977875.0,ns,1540
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,22969083.0,ns,1610
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,23965875.0,ns,1680
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,24953625.0,ns,1750
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,25948541.0,ns,1820
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,26931792.0,ns,1890
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,28844500.0,ns,1960
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,29884709.0,ns,2030
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,33317333.0,ns,2100
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,33049917.0,ns,2170
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,32225791.0,ns,2240
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,32949000.0,ns,2310
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,33964916.0,ns,2380
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,35178458.0,ns,2450
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,37635166.0,ns,2520
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,37580042.0,ns,2590
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,38185584.0,ns,2660
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,39221458.0,ns,2730
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,40188625.0,ns,2800
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,41183750.0,ns,2870
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,42207583.0,ns,2940
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,43165416.0,ns,3010
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,44191958.0,ns,3080
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,45218500.0,ns,3150
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,46213708.0,ns,3220
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,47224917.0,ns,3290
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,48219042.0,ns,3360
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,49221583.0,ns,3430
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,50965875.0,ns,3500
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,51766417.0,ns,3570
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,52189833.0,ns,3640
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,53212750.0,ns,3710
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,54200542.0,ns,3780
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,55226375.0,ns,3850
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,56222584.0,ns,3920
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,57257333.0,ns,3990
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,58247708.0,ns,4060
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,59235125.0,ns,4130
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,60236708.0,ns,4200
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,61190583.0,ns,4270
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,62183875.0,ns,4340
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,63185459.0,ns,4410
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,64361000.0,ns,4480
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,65292875.0,ns,4550
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,66274667.0,ns,4620
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,67224625.0,ns,4690
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,68222709.0,ns,4760
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,69251375.0,ns,4830
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,70205375.0,ns,4900
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,71261125.0,ns,4970
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,72203666.0,ns,5040
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,73238000.0,ns,5110
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,74235584.0,ns,5180
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,75242084.0,ns,5250
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,76249542.0,ns,5320
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,77224375.0,ns,5390
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,78185709.0,ns,5460
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,79183792.0,ns,5530
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,80105500.0,ns,5600
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,81096125.0,ns,5670
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,83493917.0,ns,5740
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,86037417.0,ns,5810
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,84196292.0,ns,5880
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,85141125.0,ns,5950
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,86146208.0,ns,6020
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,87151708.0,ns,6090
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,88137250.0,ns,6160
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,89156375.0,ns,6230
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,90116000.0,ns,6300
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,91347666.0,ns,6370
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,92101542.0,ns,6440
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,93165792.0,ns,6510
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,94157834.0,ns,6580
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,95143834.0,ns,6650
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,96167000.0,ns,6720
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,97155750.0,ns,6790
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,98163750.0,ns,6860
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,99151708.0,ns,6930
"process(k_p, ks, c1, c2, ad, ctx)",Processed message of size 20,,,,100145458.0,ns,7000
