group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,1026291.0,ns,345
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,1985417.0,ns,690
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,2948459.0,ns,1035
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,3957708.0,ns,1380
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,4909042.0,ns,1725
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,6040542.0,ns,2070
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,7124666.0,ns,2415
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,7905584.0,ns,2760
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,8831625.0,ns,3105
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,9883750.0,ns,3450
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,10850125.0,ns,3795
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,11791084.0,ns,4140
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,12790000.0,ns,4485
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,13768625.0,ns,4830
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,14801500.0,ns,5175
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,15737000.0,ns,5520
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,16733792.0,ns,5865
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,17718542.0,ns,6210
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,18705708.0,ns,6555
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,19720625.0,ns,6900
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,20661708.0,ns,7245
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,21628458.0,ns,7590
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,23115375.0,ns,7935
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,23607250.0,ns,8280
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,24630958.0,ns,8625
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,25569917.0,ns,8970
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,26540792.0,ns,9315
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,27584042.0,ns,9660
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,28536625.0,ns,10005
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,29712875.0,ns,10350
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,30519584.0,ns,10695
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,31477834.0,ns,11040
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,32511209.0,ns,11385
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,33459750.0,ns,11730
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,34425250.0,ns,12075
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,35408750.0,ns,12420
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,36409083.0,ns,12765
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,37421791.0,ns,13110
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,38401541.0,ns,13455
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,39398208.0,ns,13800
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,40370292.0,ns,14145
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,41342500.0,ns,14490
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,42327541.0,ns,14835
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,43289166.0,ns,15180
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,44299000.0,ns,15525
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,45352958.0,ns,15870
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,46294042.0,ns,16215
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,47221875.0,ns,16560
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,48176417.0,ns,16905
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,49178375.0,ns,17250
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,50140833.0,ns,17595
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,51197708.0,ns,17940
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,52149583.0,ns,18285
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,53092750.0,ns,18630
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,57413917.0,ns,18975
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,61039959.0,ns,19320
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,57291208.0,ns,19665
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,57192500.0,ns,20010
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,58076917.0,ns,20355
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,59040792.0,ns,20700
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,60025166.0,ns,21045
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,61064750.0,ns,21390
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,62059292.0,ns,21735
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,63029709.0,ns,22080
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,63985542.0,ns,22425
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,65001459.0,ns,22770
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,65962417.0,ns,23115
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,67028916.0,ns,23460
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,67893333.0,ns,23805
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,69340084.0,ns,24150
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,69897208.0,ns,24495
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,70899083.0,ns,24840
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,71884541.0,ns,25185
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,72851583.0,ns,25530
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,73799792.0,ns,25875
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,74841250.0,ns,26220
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,75737250.0,ns,26565
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,76764333.0,ns,26910
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,77609208.0,ns,27255
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,78712542.0,ns,27600
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,79654583.0,ns,27945
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,80629000.0,ns,28290
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,81604750.0,ns,28635
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,83367375.0,ns,28980
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,83632375.0,ns,29325
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,84545542.0,ns,29670
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,85639125.0,ns,30015
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,86548042.0,ns,30360
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,87458541.0,ns,30705
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,88459625.0,ns,31050
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,89510708.0,ns,31395
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,90416167.0,ns,31740
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,91423292.0,ns,32085
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,92421459.0,ns,32430
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,94753459.0,ns,32775
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,101537542.0,ns,33120
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,96839000.0,ns,33465
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,96347583.0,ns,33810
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,97270541.0,ns,34155
"read(k, pks, c1, c2, sigma, st)",Read message of size 20,,,,98307000.0,ns,34500
