group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,1011084.0,ns,395
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,1986875.0,ns,790
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,2949958.0,ns,1185
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,3949209.0,ns,1580
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,4917834.0,ns,1975
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,6026125.0,ns,2370
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,6913666.0,ns,2765
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,7939000.0,ns,3160
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,8873250.0,ns,3555
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,9869875.0,ns,3950
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,10843000.0,ns,4345
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,11843625.0,ns,4740
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,12846500.0,ns,5135
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,13793750.0,ns,5530
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,14791917.0,ns,5925
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,15764584.0,ns,6320
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,22966500.0,ns,6715
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,17784083.0,ns,7110
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,18731000.0,ns,7505
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,19705209.0,ns,7900
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,20693083.0,ns,8295
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,21678042.0,ns,8690
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,22661875.0,ns,9085
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,23677542.0,ns,9480
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,24622000.0,ns,9875
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,25614292.0,ns,10270
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,26622625.0,ns,10665
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,27574458.0,ns,11060
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,28554208.0,ns,11455
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,29540584.0,ns,11850
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,30530542.0,ns,12245
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,31558292.0,ns,12640
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,32525292.0,ns,13035
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,33492875.0,ns,13430
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,34460417.0,ns,13825
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,35483417.0,ns,14220
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,36444583.0,ns,14615
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,37377375.0,ns,15010
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,38365333.0,ns,15405
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,39494833.0,ns,15800
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,40456583.0,ns,16195
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,41435458.0,ns,16590
