group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",,10,,,1069666.0,ns,25
"send(k, m, pk_i)",,10,,,2070541.0,ns,50
"send(k, m, pk_i)",,10,,,3102583.0,ns,75
"send(k, m, pk_i)",,10,,,4128833.0,ns,100
"send(k, m, pk_i)",,10,,,5162000.0,ns,125
"send(k, m, pk_i)",,10,,,6201750.0,ns,150
"send(k, m, pk_i)",,10,,,7036459.0,ns,175
"send(k, m, pk_i)",,10,,,8296875.0,ns,200
"send(k, m, pk_i)",,10,,,9314958.0,ns,225
"send(k, m, pk_i)",,10,,,10298042.0,ns,250
"send(k, m, pk_i)",,10,,,11126792.0,ns,275
"send(k, m, pk_i)",,10,,,12331166.0,ns,300
"send(k, m, pk_i)",,10,,,13157250.0,ns,325
"send(k, m, pk_i)",,10,,,14395500.0,ns,350
"send(k, m, pk_i)",,10,,,15194666.0,ns,375
"send(k, m, pk_i)",,10,,,16456458.0,ns,400
"send(k, m, pk_i)",,10,,,17279083.0,ns,425
"send(k, m, pk_i)",,10,,,18367708.0,ns,450
"send(k, m, pk_i)",,10,,,19395959.0,ns,475
"send(k, m, pk_i)",,10,,,20332875.0,ns,500
"send(k, m, pk_i)",,10,,,21385000.0,ns,525
"send(k, m, pk_i)",,10,,,22369000.0,ns,550
"send(k, m, pk_i)",,10,,,23689541.0,ns,575
"send(k, m, pk_i)",,10,,,24667666.0,ns,600
"send(k, m, pk_i)",,10,,,25500250.0,ns,625
"send(k, m, pk_i)",,10,,,26491583.0,ns,650
"send(k, m, pk_i)",,10,,,27525292.0,ns,675
"send(k, m, pk_i)",,10,,,28589625.0,ns,700
"send(k, m, pk_i)",,10,,,29635958.0,ns,725
"send(k, m, pk_i)",,10,,,30665042.0,ns,750
"send(k, m, pk_i)",,10,,,31631209.0,ns,775
"send(k, m, pk_i)",,10,,,32695792.0,ns,800
"send(k, m, pk_i)",,10,,,33741417.0,ns,825
"send(k, m, pk_i)",,10,,,34558625.0,ns,850
"send(k, m, pk_i)",,10,,,35810291.0,ns,875
"send(k, m, pk_i)",,10,,,36633250.0,ns,900
"send(k, m, pk_i)",,10,,,37833250.0,ns,925
"send(k, m, pk_i)",,10,,,38653083.0,ns,950
"send(k, m, pk_i)",,10,,,39677833.0,ns,975
"send(k, m, pk_i)",,10,,,40744959.0,ns,1000
"send(k, m, pk_i)",,10,,,41740042.0,ns,1025
"send(k, m, pk_i)",,10,,,42692417.0,ns,1050
"send(k, m, pk_i)",,10,,,43789208.0,ns,1075
"send(k, m, pk_i)",,10,,,45131625.0,ns,1100
"send(k, m, pk_i)",,10,,,45898958.0,ns,1125
"send(k, m, pk_i)",,10,,,46874000.0,ns,1150
"send(k, m, pk_i)",,10,,,47917917.0,ns,1175
"send(k, m, pk_i)",,10,,,48894667.0,ns,1200
"send(k, m, pk_i)",,10,,,49981666.0,ns,1225
"send(k, m, pk_i)",,10,,,50807917.0,ns,1250
"send(k, m, pk_i)",,10,,,51975167.0,ns,1275
"send(k, m, pk_i)",,10,,,52764834.0,ns,1300
"send(k, m, pk_i)",,10,,,53839834.0,ns,1325
"send(k, m, pk_i)",,10,,,54761792.0,ns,1350
"send(k, m, pk_i)",,10,,,55870959.0,ns,1375
"send(k, m, pk_i)",,10,,,56914959.0,ns,1400
"send(k, m, pk_i)",,10,,,59620209.0,ns,1425
"send(k, m, pk_i)",,10,,,61451292.0,ns,1450
"send(k, m, pk_i)",,10,,,60999750.0,ns,1475
"send(k, m, pk_i)",,10,,,61629083.0,ns,1500
"send(k, m, pk_i)",,10,,,62647875.0,ns,1525
"send(k, m, pk_i)",,10,,,63405167.0,ns,1550
"send(k, m, pk_i)",,10,,,64681208.0,ns,1575
"send(k, m, pk_i)",,10,,,65518542.0,ns,1600
"send(k, m, pk_i)",,10,,,66246291.0,ns,1625
"send(k, m, pk_i)",,10,,,67294083.0,ns,1650
"send(k, m, pk_i)",,10,,,68222375.0,ns,1675
