group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",,20,,,1011291.0,ns,12
"send(k, m, pk_i)",,20,,,1979959.0,ns,24
"send(k, m, pk_i)",,20,,,3085792.0,ns,36
"send(k, m, pk_i)",,20,,,3957125.0,ns,48
"send(k, m, pk_i)",,20,,,4935875.0,ns,60
"send(k, m, pk_i)",,20,,,5949125.0,ns,72
"send(k, m, pk_i)",,20,,,6922792.0,ns,84
"send(k, m, pk_i)",,20,,,7977959.0,ns,96
"send(k, m, pk_i)",,20,,,8895458.0,ns,108
"send(k, m, pk_i)",,20,,,9812666.0,ns,120
"send(k, m, pk_i)",,20,,,10303666.0,ns,132
"send(k, m, pk_i)",,20,,,11617250.0,ns,144
"send(k, m, pk_i)",,20,,,12766708.0,ns,156
"send(k, m, pk_i)",,20,,,13711541.0,ns,168
"send(k, m, pk_i)",,20,,,14739375.0,ns,180
"send(k, m, pk_i)",,20,,,15729375.0,ns,192
"send(k, m, pk_i)",,20,,,16647084.0,ns,204
"send(k, m, pk_i)",,20,,,17644625.0,ns,216
"send(k, m, pk_i)",,20,,,18608542.0,ns,228
"send(k, m, pk_i)",,20,,,19643959.0,ns,240
"send(k, m, pk_i)",,20,,,20604500.0,ns,252
"send(k, m, pk_i)",,20,,,21437375.0,ns,264
"send(k, m, pk_i)",,20,,,22583792.0,ns,276
"send(k, m, pk_i)",,20,,,23369084.0,ns,288
"send(k, m, pk_i)",,20,,,24497667.0,ns,300
"send(k, m, pk_i)",,20,,,25263459.0,ns,312
"send(k, m, pk_i)",,20,,,26320709.0,ns,324
"send(k, m, pk_i)",,20,,,27295458.0,ns,336
"send(k, m, pk_i)",,20,,,28438000.0,ns,348
"send(k, m, pk_i)",,20,,,29237833.0,ns,360
"send(k, m, pk_i)",,20,,,30206125.0,ns,372
"send(k, m, pk_i)",,20,,,31154916.0,ns,384
"send(k, m, pk_i)",,20,,,32197208.0,ns,396
"send(k, m, pk_i)",,20,,,33140167.0,ns,408
"send(k, m, pk_i)",,20,,,34319792.0,ns,420
"send(k, m, pk_i)",,20,,,35161334.0,ns,432
"send(k, m, pk_i)",,20,,,36118875.0,ns,444
"send(k, m, pk_i)",,20,,,36946875.0,ns,456
"send(k, m, pk_i)",,20,,,37979666.0,ns,468
"send(k, m, pk_i)",,20,,,39051708.0,ns,480
"send(k, m, pk_i)",,20,,,39790416.0,ns,492
"send(k, m, pk_i)",,20,,,40888166.0,ns,504
"send(k, m, pk_i)",,20,,,41879292.0,ns,516
"send(k, m, pk_i)",,20,,,42839959.0,ns,528
"send(k, m, pk_i)",,20,,,43678959.0,ns,540
"send(k, m, pk_i)",,20,,,44663083.0,ns,552
"send(k, m, pk_i)",,20,,,45757041.0,ns,564
"send(k, m, pk_i)",,20,,,46920375.0,ns,576
"send(k, m, pk_i)",,20,,,47616542.0,ns,588
"send(k, m, pk_i)",,20,,,48598917.0,ns,600
"send(k, m, pk_i)",,20,,,49353709.0,ns,612
"send(k, m, pk_i)",,20,,,50488584.0,ns,624
"send(k, m, pk_i)",,20,,,51681625.0,ns,636
"send(k, m, pk_i)",,20,,,52735416.0,ns,648
"send(k, m, pk_i)",,20,,,53663542.0,ns,660
"send(k, m, pk_i)",,20,,,54631875.0,ns,672
"send(k, m, pk_i)",,20,,,55763500.0,ns,684
"send(k, m, pk_i)",,20,,,56498500.0,ns,696
"send(k, m, pk_i)",,20,,,57490125.0,ns,708
"send(k, m, pk_i)",,20,,,58543375.0,ns,720
"send(k, m, pk_i)",,20,,,59978375.0,ns,732
"send(k, m, pk_i)",,20,,,60534000.0,ns,744
"send(k, m, pk_i)",,20,,,61348042.0,ns,756
"send(k, m, pk_i)",,20,,,62372583.0,ns,768
"send(k, m, pk_i)",,20,,,63719542.0,ns,780
"send(k, m, pk_i)",,20,,,64653542.0,ns,792
"send(k, m, pk_i)",,20,,,65284959.0,ns,804
"send(k, m, pk_i)",,20,,,67455709.0,ns,816
"send(k, m, pk_i)",,20,,,70040500.0,ns,828
"send(k, m, pk_i)",,20,,,70136917.0,ns,840
"send(k, m, pk_i)",,20,,,69999459.0,ns,852
"send(k, m, pk_i)",,20,,,68698959.0,ns,864
"send(k, m, pk_i)",,20,,,71472708.0,ns,876
"send(k, m, pk_i)",,20,,,72643833.0,ns,888
"send(k, m, pk_i)",,20,,,74689459.0,ns,900
"send(k, m, pk_i)",,20,,,77181667.0,ns,912
"send(k, m, pk_i)",,20,,,76158125.0,ns,924
"send(k, m, pk_i)",,20,,,77026083.0,ns,936
"send(k, m, pk_i)",,20,,,77716500.0,ns,948
"send(k, m, pk_i)",,20,,,76128125.0,ns,960
"send(k, m, pk_i)",,20,,,78710625.0,ns,972
"send(k, m, pk_i)",,20,,,79577791.0,ns,984
"send(k, m, pk_i)",,20,,,80638791.0,ns,996
"send(k, m, pk_i)",,20,,,81491666.0,ns,1008
"send(k, m, pk_i)",,20,,,82980750.0,ns,1020
"send(k, m, pk_i)",,20,,,83983250.0,ns,1032
"send(k, m, pk_i)",,20,,,84685084.0,ns,1044
"send(k, m, pk_i)",,20,,,85661167.0,ns,1056
"send(k, m, pk_i)",,20,,,86613084.0,ns,1068
"send(k, m, pk_i)",,20,,,88776792.0,ns,1080
"send(k, m, pk_i)",,20,,,88803500.0,ns,1092
"send(k, m, pk_i)",,20,,,89985792.0,ns,1104
"send(k, m, pk_i)",,20,,,90594542.0,ns,1116
"send(k, m, pk_i)",,20,,,91479791.0,ns,1128
"send(k, m, pk_i)",,20,,,92488500.0,ns,1140
"send(k, m, pk_i)",,20,,,93431917.0,ns,1152
"send(k, m, pk_i)",,20,,,94432083.0,ns,1164
"send(k, m, pk_i)",,20,,,95294250.0,ns,1176
"send(k, m, pk_i)",,20,,,96181875.0,ns,1188
"send(k, m, pk_i)",,20,,,97052334.0,ns,1200
