group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,51939042.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,52338833.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,51547917.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50624083.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50621291.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50614917.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50468958.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,56669500.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50182875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50209958.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50265666.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50253667.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50213208.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50315625.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50345625.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50600667.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50572250.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50537958.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50551833.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50575541.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50547208.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50487875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50540875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50504458.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50503584.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50751459.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50278625.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50460250.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50404417.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50445792.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50405250.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50506500.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50440834.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50434833.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50469208.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50442375.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50436916.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50506041.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50444500.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50471875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50474125.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50767417.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50481209.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50605250.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50470041.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,51122708.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50484250.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50468584.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50457667.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50513959.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50501375.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50402500.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50580791.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50475833.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50551292.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50294875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50334458.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50366375.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50364209.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,51546083.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,52315084.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,51685584.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50239625.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50222459.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50172167.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50224875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50372041.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50254750.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50253333.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50238833.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50246875.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50269167.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50210834.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50314584.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50242583.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50312333.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50235666.0,ns,24
"send(k, m, pk_i)",Sent 320 messages of size 320,,,,50372917.0,ns,24
