group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55233000.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54827500.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54908583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55039291.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54865833.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54809666.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54949417.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55002042.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54834875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54777750.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54867333.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54747625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55385208.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,58103375.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,59029875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55852250.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55410667.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55177209.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54736375.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55709166.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54618541.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54605583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54866958.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54610667.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54949167.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54631584.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54618625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54812542.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54942584.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54806625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54791041.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54495750.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54595959.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54582917.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54910292.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54601042.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54678875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54473625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54747625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54451042.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54522125.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54537250.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54775834.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54413333.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54433583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54565208.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54655166.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54543916.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54573417.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54459709.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54620583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54488125.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54601250.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54543792.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54512417.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54441583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54488875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54292292.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54405125.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54650792.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54551625.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54361042.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54410416.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54410333.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54284667.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54524000.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54371666.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,56123375.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,60232083.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,57608000.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55718209.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55291875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,55015792.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54833875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54700875.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54692959.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54547500.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54539541.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54810375.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54442834.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54725542.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54466500.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54707750.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54684750.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54350208.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54337666.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54531083.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54541125.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54492375.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54676292.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54327542.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54419959.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54516125.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54414459.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54338292.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54476042.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54370916.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54731583.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54522250.0,ns,6
"send(k, m, pk_i)",Sent 640 messages of size 1280,,,,54506792.0,ns,6
