group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent message of size 10,,,,1031583.0,ns,243
"send(k, m, pk_i)",Sent message of size 10,,,,2009750.0,ns,486
"send(k, m, pk_i)",Sent message of size 10,,,,2970333.0,ns,729
"send(k, m, pk_i)",Sent message of size 10,,,,3967083.0,ns,972
"send(k, m, pk_i)",Sent message of size 10,,,,4966875.0,ns,1215
"send(k, m, pk_i)",Sent message of size 10,,,,6036875.0,ns,1458
"send(k, m, pk_i)",Sent message of size 10,,,,6928375.0,ns,1701
"send(k, m, pk_i)",Sent message of size 10,,,,7970666.0,ns,1944
"send(k, m, pk_i)",Sent message of size 10,,,,8958750.0,ns,2187
"send(k, m, pk_i)",Sent message of size 10,,,,9963125.0,ns,2430
"send(k, m, pk_i)",Sent message of size 10,,,,10937625.0,ns,2673
"send(k, m, pk_i)",Sent message of size 10,,,,11905958.0,ns,2916
"send(k, m, pk_i)",Sent message of size 10,,,,12913208.0,ns,3159
"send(k, m, pk_i)",Sent message of size 10,,,,13948792.0,ns,3402
"send(k, m, pk_i)",Sent message of size 10,,,,14913916.0,ns,3645
"send(k, m, pk_i)",Sent message of size 10,,,,15913416.0,ns,3888
"send(k, m, pk_i)",Sent message of size 10,,,,16881166.0,ns,4131
"send(k, m, pk_i)",Sent message of size 10,,,,17881833.0,ns,4374
"send(k, m, pk_i)",Sent message of size 10,,,,18878583.0,ns,4617
"send(k, m, pk_i)",Sent message of size 10,,,,19897541.0,ns,4860
"send(k, m, pk_i)",Sent message of size 10,,,,20872375.0,ns,5103
"send(k, m, pk_i)",Sent message of size 10,,,,21888167.0,ns,5346
"send(k, m, pk_i)",Sent message of size 10,,,,23166208.0,ns,5589
"send(k, m, pk_i)",Sent message of size 10,,,,23854042.0,ns,5832
"send(k, m, pk_i)",Sent message of size 10,,,,24862375.0,ns,6075
"send(k, m, pk_i)",Sent message of size 10,,,,25857459.0,ns,6318
"send(k, m, pk_i)",Sent message of size 10,,,,26849375.0,ns,6561
"send(k, m, pk_i)",Sent message of size 10,,,,27859792.0,ns,6804
"send(k, m, pk_i)",Sent message of size 10,,,,28805625.0,ns,7047
"send(k, m, pk_i)",Sent message of size 10,,,,31136333.0,ns,7290
"send(k, m, pk_i)",Sent message of size 10,,,,33428291.0,ns,7533
"send(k, m, pk_i)",Sent message of size 10,,,,33332916.0,ns,7776
"send(k, m, pk_i)",Sent message of size 10,,,,33795667.0,ns,8019
"send(k, m, pk_i)",Sent message of size 10,,,,34217125.0,ns,8262
"send(k, m, pk_i)",Sent message of size 10,,,,34938375.0,ns,8505
"send(k, m, pk_i)",Sent message of size 10,,,,35889417.0,ns,8748
"send(k, m, pk_i)",Sent message of size 10,,,,36911250.0,ns,8991
"send(k, m, pk_i)",Sent message of size 10,,,,37974125.0,ns,9234
"send(k, m, pk_i)",Sent message of size 10,,,,38932584.0,ns,9477
"send(k, m, pk_i)",Sent message of size 10,,,,39909875.0,ns,9720
"send(k, m, pk_i)",Sent message of size 10,,,,40941667.0,ns,9963
"send(k, m, pk_i)",Sent message of size 10,,,,41915625.0,ns,10206
"send(k, m, pk_i)",Sent message of size 10,,,,42811084.0,ns,10449
"send(k, m, pk_i)",Sent message of size 10,,,,43764042.0,ns,10692
