group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent message of size 10,,,,1024375.0,ns,240
"send(k, m, pk_i)",Sent message of size 10,,,,2055209.0,ns,480
"send(k, m, pk_i)",Sent message of size 10,,,,3073000.0,ns,720
"send(k, m, pk_i)",Sent message of size 10,,,,4085875.0,ns,960
"send(k, m, pk_i)",Sent message of size 10,,,,4979291.0,ns,1200
"send(k, m, pk_i)",Sent message of size 10,,,,6113333.0,ns,1440
"send(k, m, pk_i)",Sent message of size 10,,,,7162250.0,ns,1680
"send(k, m, pk_i)",Sent message of size 10,,,,8208792.0,ns,1920
"send(k, m, pk_i)",Sent message of size 10,,,,9190083.0,ns,2160
"send(k, m, pk_i)",Sent message of size 10,,,,10251042.0,ns,2400
"send(k, m, pk_i)",Sent message of size 10,,,,11731209.0,ns,2640
"send(k, m, pk_i)",Sent message of size 10,,,,12308792.0,ns,2880
"send(k, m, pk_i)",Sent message of size 10,,,,13039875.0,ns,3120
"send(k, m, pk_i)",Sent message of size 10,,,,14096250.0,ns,3360
"send(k, m, pk_i)",Sent message of size 10,,,,14810750.0,ns,3600
"send(k, m, pk_i)",Sent message of size 10,,,,15774333.0,ns,3840
"send(k, m, pk_i)",Sent message of size 10,,,,16834291.0,ns,4080
"send(k, m, pk_i)",Sent message of size 10,,,,17778583.0,ns,4320
"send(k, m, pk_i)",Sent message of size 10,,,,18721250.0,ns,4560
"send(k, m, pk_i)",Sent message of size 10,,,,19725500.0,ns,4800
"send(k, m, pk_i)",Sent message of size 10,,,,20572625.0,ns,5040
"send(k, m, pk_i)",Sent message of size 10,,,,21783750.0,ns,5280
"send(k, m, pk_i)",Sent message of size 10,,,,22681041.0,ns,5520
"send(k, m, pk_i)",Sent message of size 10,,,,23795417.0,ns,5760
"send(k, m, pk_i)",Sent message of size 10,,,,24753292.0,ns,6000
"send(k, m, pk_i)",Sent message of size 10,,,,25653167.0,ns,6240
"send(k, m, pk_i)",Sent message of size 10,,,,26764541.0,ns,6480
"send(k, m, pk_i)",Sent message of size 10,,,,27617750.0,ns,6720
"send(k, m, pk_i)",Sent message of size 10,,,,28552041.0,ns,6960
"send(k, m, pk_i)",Sent message of size 10,,,,29731542.0,ns,7200
"send(k, m, pk_i)",Sent message of size 10,,,,30597625.0,ns,7440
"send(k, m, pk_i)",Sent message of size 10,,,,31529417.0,ns,7680
"send(k, m, pk_i)",Sent message of size 10,,,,32606625.0,ns,7920
"send(k, m, pk_i)",Sent message of size 10,,,,33557709.0,ns,8160
"send(k, m, pk_i)",Sent message of size 10,,,,34509292.0,ns,8400
"send(k, m, pk_i)",Sent message of size 10,,,,35527541.0,ns,8640
"send(k, m, pk_i)",Sent message of size 10,,,,36470916.0,ns,8880
"send(k, m, pk_i)",Sent message of size 10,,,,37457167.0,ns,9120
"send(k, m, pk_i)",Sent message of size 10,,,,38531167.0,ns,9360
"send(k, m, pk_i)",Sent message of size 10,,,,39429583.0,ns,9600
"send(k, m, pk_i)",Sent message of size 10,,,,40439542.0,ns,9840
"send(k, m, pk_i)",Sent message of size 10,,,,41441542.0,ns,10080
"send(k, m, pk_i)",Sent message of size 10,,,,42383584.0,ns,10320
"send(k, m, pk_i)",Sent message of size 10,,,,43417834.0,ns,10560
"send(k, m, pk_i)",Sent message of size 10,,,,44386042.0,ns,10800
"send(k, m, pk_i)",Sent message of size 10,,,,45368709.0,ns,11040
"send(k, m, pk_i)",Sent message of size 10,,,,46329542.0,ns,11280
"send(k, m, pk_i)",Sent message of size 10,,,,47326834.0,ns,11520
"send(k, m, pk_i)",Sent message of size 10,,,,48300292.0,ns,11760
"send(k, m, pk_i)",Sent message of size 10,,,,49256834.0,ns,12000
"send(k, m, pk_i)",Sent message of size 10,,,,50270292.0,ns,12240
"send(k, m, pk_i)",Sent message of size 10,,,,51244625.0,ns,12480
"send(k, m, pk_i)",Sent message of size 10,,,,52261750.0,ns,12720
"send(k, m, pk_i)",Sent message of size 10,,,,53199208.0,ns,12960
"send(k, m, pk_i)",Sent message of size 10,,,,54180625.0,ns,13200
"send(k, m, pk_i)",Sent message of size 10,,,,55430500.0,ns,13440
"send(k, m, pk_i)",Sent message of size 10,,,,56243000.0,ns,13680
"send(k, m, pk_i)",Sent message of size 10,,,,57206250.0,ns,13920
"send(k, m, pk_i)",Sent message of size 10,,,,58120208.0,ns,14160
"send(k, m, pk_i)",Sent message of size 10,,,,59381208.0,ns,14400
"send(k, m, pk_i)",Sent message of size 10,,,,60160125.0,ns,14640
"send(k, m, pk_i)",Sent message of size 10,,,,61181583.0,ns,14880
"send(k, m, pk_i)",Sent message of size 10,,,,62034958.0,ns,15120
"send(k, m, pk_i)",Sent message of size 10,,,,63204958.0,ns,15360
"send(k, m, pk_i)",Sent message of size 10,,,,64290833.0,ns,15600
"send(k, m, pk_i)",Sent message of size 10,,,,65316958.0,ns,15840
"send(k, m, pk_i)",Sent message of size 10,,,,66031083.0,ns,16080
"send(k, m, pk_i)",Sent message of size 10,,,,67138875.0,ns,16320
"send(k, m, pk_i)",Sent message of size 10,,,,67936833.0,ns,16560
"send(k, m, pk_i)",Sent message of size 10,,,,68976834.0,ns,16800
"send(k, m, pk_i)",Sent message of size 10,,,,70024500.0,ns,17040
